AppTime;HMDPos_x,HMDPos_y,HMDPos_z;MDRot_x,HMDRot_y,HMDRot_z,HMDRot_w;EyePos_x,EyePos_y,EyePos_z;LeftPos_x,LeftPos_y,LeftPos_z;LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w;RightPos_x,RightPos_y,RightPos_z;RightRot_x,RightRot_y,RightRot_z,RightRot_w;
52.19602;0.5551698,1.473093,0.0549473;-0.06706167,0.6870102,0.0003963254,0.7235466;-3.704895,1.175095,2.084066;0.5857472,0.6566821,0.2389563;-0.07420142,0.7914143,-0.5055215,0.3355676;0.6005838,0.635614,-0.1018865;0.5086049,0.4440031,-0.007414716,0.7376499;
52.20722;0.5550814,1.473128,0.05494914;-0.06704575,0.6865126,2.769707E-05,0.7240202;-3.705767,1.177061,2.068251;0.5844972,0.6554178,0.2386598;-0.06956001,0.7908267,-0.5109301,0.3297044;0.6000059,0.6355315,-0.1016723;0.5077997,0.4433059,-0.007869374,0.7386186;
52.21811;0.5550387,1.473206,0.05496674;-0.06720126,0.6862164,-0.0001812712,0.7242866;-3.704292,1.174518,2.087857;0.5828143,0.6538863,0.238617;-0.06743851,0.7905492,-0.5157097,0.3233071;0.600116,0.6355265,-0.1011746;0.5073288,0.4423009,-0.007362728,0.7395493;
52.23;0.5551353,1.473262,0.05489369;-0.06747606,0.6858692,-0.0002404712,0.7245898;-3.704179,1.174115,2.090889;0.5817724,0.6526687,0.2384206;-0.06531668,0.7889346,-0.5210525,0.3190928;0.5994996,0.6353447,-0.1009148;0.5071535,0.4409451,-0.007076801,0.7404814;
52.24009;0.5551161,1.473326,0.05489015;-0.06761222,0.685703,-8.636331E-05,0.7247344;-3.704282,1.174849,2.085218;0.5817937,0.6516851,0.2386576;-0.06385646,0.7839677,-0.5276865,0.3207241;0.5987689,0.6349488,-0.1003684;0.5071728,0.4389381,-0.006463815,0.7416653;
52.25196;0.5550549,1.473396,0.05486018;-0.06758171,0.6854922,-2.099192E-05,0.7249368;-3.704785,1.174861,2.084846;0.5813407,0.6504098,0.2387066;-0.06198548,0.7805513,-0.5334879,0.3198255;0.5977376,0.634769,-0.09981871;0.5077662,0.4359497,-0.005916163,0.7430251;
52.26208;0.5550279,1.473513,0.05491124;-0.06748646,0.6854183,0.0001892921,0.7250154;-3.704103,1.172314,2.104281;0.5815195,0.6495301,0.2389616;-0.06039433,0.7752596,-0.5392108,0.3233834;0.5966151,0.6344944,-0.09944788;0.5091397,0.4318927,-0.004974023,0.7444601;
52.27499;0.5550774,1.473557,0.05489446;-0.06738022,0.6853896,0.0004138525,0.7250524;-3.703728,1.172794,2.101188;0.582055,0.6488861,0.2391419;-0.05883819,0.7701838,-0.5438415,0.3280113;0.5956075,0.6341654,-0.09913801;0.5110753,0.4271493,-0.003904516,0.7458756;
52.28515;0.5551781,1.473568,0.05494589;-0.06715882,0.6853434,0.0004047687,0.7251166;-3.704292,1.173656,2.093894;0.5828309,0.648581,0.2395058;-0.05737835,0.7654709,-0.5475719,0.3330571;0.5944172,0.6338593,-0.09877209;0.5128831,0.4224002,-0.002722341,0.7473431;
52.29596;0.555318,1.473658,0.05496621;-0.06701934,0.6854485,0.0003179518,0.7250302;-3.704153,1.174491,2.088462;0.5835106,0.6484358,0.2395433;-0.05628329,0.7610851,-0.5498427,0.339492;0.5930279,0.6335992,-0.09837253;0.5149847,0.4168545,-0.0009481456,0.7490142;
52.30789;0.5553532,1.473658,0.05502798;-0.06696926,0.6856486,-9.542888E-05,0.7248455;-3.704109,1.175037,2.084612;0.5841945,0.6483321,0.2393915;-0.05533014,0.7574564,-0.5517849,0.3445749;0.5916344,0.6332803,-0.09786946;0.5170394,0.4108148,0.001572294,0.7509322;
52.31888;0.5555091,1.473645,0.05500611;-0.0667506,0.6858874,-0.0006058767,0.7246396;-3.704113,1.174794,2.086283;0.5848751,0.6485332,0.2391895;-0.05548353,0.7546644,-0.5517736,0.3506413;0.5902176,0.6329607,-0.09728928;0.5189402,0.4046101,0.004730057,0.7529736;
52.32892;0.5556716,1.473588,0.05499757;-0.06657605,0.686145,-0.001126958,0.724411;-3.704259,1.175991,2.077779;0.5852649,0.6486644,0.238683;-0.05592559,0.7523245,-0.552164,0.3549578;0.5893279,0.6328713,-0.0967786;0.5205539,0.3988568,0.007946393,0.7548999;
52.34071;0.5558536,1.473485,0.0550268;-0.06632826,0.6865453,-0.001982611,0.7240526;-3.704224,1.175738,2.07976;0.5856334,0.6491939,0.2382099;-0.05823221,0.7519853,-0.5505196,0.3578483;0.5878268,0.6326218,-0.09603226;0.5222773,0.3916577,0.01225244,0.757417;
52.35067;0.5560843,1.47333,0.05503868;-0.06586911,0.6870565,-0.002726141,0.7236071;-3.704046,1.173672,2.095465;0.5856608,0.6500783,0.2371678;-0.06295035,0.7539092,-0.5483662,0.3563043;0.5862237,0.6325166,-0.09515628;0.5235321,0.383727,0.01654257,0.7605222;
52.36261;0.5564125,1.473067,0.05501469;-0.06498506,0.6875253,-0.003753177,0.7232372;-3.704303,1.174755,2.087098;0.5857052,0.6504549,0.2364704;-0.06626914,0.7546368,-0.5474756,0.3555307;0.5847247,0.6323776,-0.09437557;0.5244727,0.3764066,0.01980104,0.7634491;
52.37357;0.5567457,1.472748,0.05504624;-0.0637713,0.6882204,-0.00462045,0.7226787;-3.704491,1.174316,2.089808;0.5854329,0.650705,0.235699;-0.07089316,0.7570851,-0.5458703,0.3518833;0.5831953,0.632291,-0.09346171;0.5244756,0.3692724,0.02170272,0.7668717;
52.38472;0.5569818,1.472502,0.05506286;-0.06242599,0.6887633,-0.00569235,0.7222712;-3.705013,1.175089,2.082658;0.5851496,0.6512873,0.2349554;-0.07443644,0.75917,-0.5441409,0.3493291;0.5819701,0.6321206,-0.09278493;0.5246409,0.3630217,0.02332059,0.7696905;
52.39581;0.557338,1.4721,0.05507074;-0.06090223,0.6893715,-0.006749462,0.7218119;-3.705177,1.175158,2.081387;0.5847166,0.6517254,0.2344416;-0.07713723,0.7619975,-0.5417358,0.3463121;0.580675,0.6319853,-0.09206273;0.5247099,0.3577991,0.02447054,0.7720497;
52.40763;0.5576203,1.471807,0.05513448;-0.05950831,0.690028,-0.007920273,0.7212887;-3.705368,1.174863,2.08229;0.5844982,0.6521117,0.2342049;-0.07911772,0.7637064,-0.5397132,0.3452573;0.5795906,0.6318467,-0.09152092;0.5249923,0.3541274,0.0254385,0.7735178;
52.41891;0.5578797,1.471501,0.0551635;-0.05799457,0.690584,-0.009063551,0.7208663;-3.705422,1.174515,2.083838;0.5843083,0.6523495,0.2343451;-0.07953262,0.7649833,-0.5375054,0.3457789;0.5790795,0.631864,-0.09105089;0.5256295,0.3512592,0.02664872,0.7743517;
52.43048;0.558164,1.471179,0.05520139;-0.05677828,0.6912231,-0.0101307,0.7203361;-3.705711,1.173458,2.089607;0.5841438,0.6526415,0.2345117;-0.0797462,0.7658132,-0.5357049,0.3466857;0.5783292,0.6317562,-0.09078969;0.5260831,0.3499412,0.02729856,0.7746177;
52.44159;0.5584338,1.470872,0.05523325;-0.05531585,0.6916312,-0.01108121,0.7200443;-3.706026,1.173454,2.087976;0.5837474,0.6527606,0.2351167;-0.07794316,0.7655271,-0.5345238,0.3495388;0.5773766,0.6314128,-0.09018022;0.5264736,0.3489551,0.02801456,0.7747716;
52.45254;0.5587002,1.470598,0.05532462;-0.05399134,0.6920925,-0.01214613,0.7196842;-3.70715,1.174909,2.074715;0.5834676,0.6529282,0.2355615;-0.07692108,0.7656181,-0.5334064,0.3512688;0.5767412,0.6313129,-0.08999866;0.5271676,0.3480818,0.02907431,0.7746535;
52.46571;0.558849,1.470349,0.05539088;-0.05284721,0.6924853,-0.01325911,0.7193716;-3.707248,1.175076,2.071654;0.5829307,0.6527244,0.2366323;-0.07298854,0.7650653,-0.5325989,0.3545226;0.5844043,0.6335845,-0.09124528;0.5281754,0.3484817,0.03002486,0.7737505;
52.47787;0.5591617,1.469978,0.05554619;-0.05163864,0.6927947,-0.01442604,0.719139;-3.706882,1.173173,2.084645;0.5822718,0.6528773,0.2373725;-0.07031026,0.7651574,-0.5314614,0.3565662;0.5840117,0.6333749,-0.09146948;0.5289714,0.3476616,0.03188153,0.7735013;
52.48955;0.5592758,1.469747,0.05566779;-0.05043732,0.6931714,-0.01583039,0.7188315;-3.707339,1.173583,2.079292;0.5815222,0.6528646,0.238167;-0.06605257,0.7650235,-0.530484,0.3591141;0.5837669,0.6334176,-0.0914529;0.5296534,0.346632,0.03333266,0.7734355;
52.50129;0.5594158,1.469441,0.05573847;-0.04923612,0.6933923,-0.0169352,0.7186767;-3.707573,1.173463,2.07828;0.5805311,0.6526182,0.2389871;-0.06099269,0.7650042,-0.5300602,0.3606728;0.5835217,0.6337342,-0.09162408;0.5293675,0.3459794,0.03370059,0.7739074;
52.51329;0.5594813,1.469247,0.0557845;-0.04818302,0.6936615,-0.01793031,0.7184641;-3.707524,1.1728,2.081803;0.5797081,0.6526154,0.239693;-0.05759639,0.7650394,-0.5294265,0.362084;0.5833943,0.6338407,-0.09165794;0.5289503,0.3458838,0.03348342,0.7742447;
52.52539;0.5595583,1.46904,0.05588664;-0.04705576,0.6937956,-0.01887927,0.7183849;-3.708304,1.172914,2.078221;0.5784296,0.6522225,0.2405054;-0.05325091,0.7650439,-0.5298559,0.3621117;0.5831922,0.6340746,-0.09153807;0.5281025,0.3469784,0.03228059,0.7743848;
52.53754;0.5595493,1.46883,0.05593867;-0.04610293,0.6940167,-0.01956152,0.7182149;-3.70899,1.173137,2.074138;0.5772309,0.6517016,0.2412636;-0.04915022,0.7649986,-0.5307688,0.3614496;0.58319,0.6341906,-0.09169011;0.5277564,0.3479668,0.03158353,0.7742059;
52.54933;0.5595449,1.468663,0.05602152;-0.04511785,0.6941818,-0.02019863,0.7181004;-3.709394,1.173202,2.071518;0.5756764,0.6512296,0.2419924;-0.04586342,0.7647059,-0.5327274,0.3596152;0.5833701,0.6342845,-0.09204763;0.5277265,0.3500222,0.0307162,0.7733342;
52.56323;0.5594141,1.468417,0.05602685;-0.04396543,0.6943628,-0.02108065,0.7179714;-3.709645,1.172881,2.070361;0.5723987,0.6499463,0.2433518;-0.04010507,0.7643232,-0.5371633,0.3544815;0.5826648,0.6339093,-0.09239998;0.5286372,0.353363,0.03055358,0.7711964;
52.57403;0.559269,1.468358,0.05600674;-0.04371274,0.6944492,-0.02134448,0.7178956;-3.709733,1.17383,2.060902;0.5705951,0.6492322,0.2439073;-0.0381666,0.7642304,-0.5399603,0.3506253;0.5827682,0.6339073,-0.09281555;0.5291026,0.3543008,0.0305723,0.7704458;
52.58519;0.559217,1.468289,0.05596471;-0.04350175,0.6945564,-0.02169405,0.7177941;-3.709522,1.174181,2.055137;0.5690094,0.6485299,0.2444393;-0.03639525,0.7642238,-0.5422488,0.3472804;0.5817195,0.6335822,-0.09290214;0.5292588,0.354811,0.03084606,0.7700927;
52.59694;0.559086,1.468277,0.05588651;-0.04352237,0.6947384,-0.02205094,0.7176058;-3.709778,1.172587,2.063813;0.5671886,0.6478568,0.2446728;-0.03644116,0.7646395,-0.5447909,0.3423469;0.5814263,0.633619,-0.09310806;0.5294822,0.3548534,0.03123835,0.7699038;
52.60925;0.5590023,1.468211,0.0558058;-0.04349433,0.6949974,-0.02245803,0.717344;-3.707187,1.171061,2.077699;0.5651873,0.647835,0.2450934;-0.03582665,0.7651733,-0.5464656,0.3385286;0.5800556,0.6333641,-0.0931949;0.5295596,0.3547871,0.03156535,0.7698678;
52.62219;0.5588827,1.468107,0.05570092;-0.04339629,0.6952784,-0.02291198,0.7170634;-3.707063,1.1709,2.077663;0.5635501,0.6472158,0.2450245;-0.03618457,0.7658134,-0.5482212,0.3341767;0.5797936,0.6334217,-0.09331286;0.529749,0.3548569,0.03174546,0.7696979;
52.63317;0.5587915,1.468045,0.05560453;-0.04321018,0.6956098,-0.02350683,0.7167338;-3.707102,1.168404,2.094963;0.5615259,0.646891,0.2450428;-0.0366449,0.7667908,-0.5491102,0.3304043;0.579641,0.6333771,-0.09341277;0.5298082,0.3549027,0.03113532,0.769661;
52.64383;0.5586497,1.467909,0.05552346;-0.042916,0.6959884,-0.02415774,0.7163622;-3.706928,1.167249,2.102678;0.5599008,0.6466873,0.2452669;-0.03672319,0.76763,-0.5500794,0.3268154;0.5792612,0.6333427,-0.09344152;0.5297878,0.3554583,0.03065853,0.7694377;
52.6551;0.5585127,1.467805,0.05538321;-0.04259246,0.6963327,-0.02493577,0.7160201;-3.707176,1.166914,2.103844;0.5590308,0.6464058,0.2452411;-0.03755413,0.7690082,-0.5498565,0.3238426;0.5789456,0.6332885,-0.09354384;0.5298004,0.3562135,0.02999026,0.7691061;
52.66696;0.5584228,1.467654,0.05526944;-0.04223939,0.6967795,-0.02558523,0.7155834;-3.707082,1.16692,2.103105;0.5577672,0.6463716,0.2452633;-0.03777891,0.7700503,-0.5500029,0.3210796;0.5787796,0.6332682,-0.09364957;0.5298812,0.3568283,0.02943733,0.7687867;
52.67796;0.5583619,1.467474,0.055055;-0.0417846,0.6971438,-0.02602522,0.7152393;-3.707335,1.169282,2.084892;0.5564804,0.6462208,0.2451768;-0.03780239,0.7710924,-0.5500363,0.3185085;0.5785148,0.6330898,-0.09368554;0.5300834,0.3571469,0.02877042,0.7685245;
